#reaction	model_id	name	compartment	irreversible	stoichiometry	Vmax	Delta G [kJ/mol]	EC	KEGG	UniProt	SBO	SBO name
18	TPI	 Triosephosphate isomerase 	cyto	N	1 dhap <-> 1 grap	420	7.5	EC:5.3.1.1	KEGG:R01015	UNIPROT:P60174	SBO:0000014	enzyme
19	GAPDH	 Glyceraldehydephosphate dehydrogenase 	cyto	N	1 grap + 1 p + 1 nad <-> 1 nadh + 1 h + 1 bpg13	420	6.3	EC:1.2.1.12	KEGG:R01061	UNIPROT:P04406	SBO:0000014	enzyme
20	PGK	 Phosphoglycerate kinase	cyto	N	1 adp + 1 bpg13 <-> 1 atp + pg3	420	-5	EC:2.7.2.3	KEGG:R01512	UNIPROT:P00558	SBO:0000014	enzyme
21	PGAM	 3-Phosphoglycerate mutase 	cyto	N	1 pg3 <-> 1 pg2	420	4.4	EC:5.4.2.1	KEGG:R01518	UNIPROT:P18669	SBO:0000014	enzyme
22	EN	 Enolase 	cyto	N	1 pg2 <-> 1 pep + 1 h2o	35.994	7.5	EC:4.2.1.11	KEGG:R00658	UNIPROT:P06733, UNIPROT:P09104, UNIPROT:P13929	SBO:0000014	enzyme
23	PK	 Pyruvate kinase 	cyto	Y	1 adp + 1 pep -> 1 atp + 1 pyr	46.2	-31.4	EC:2.7.1.40	KEGG:R00200	UNIPROT:P30613	SBO:0000014	enzyme
24	PEPCK	 Phosphoenolpyruvate carboxykinase 	cyto	N	1 oaa + 1 gtp <-> 1 pep + 1 gdp + 1 co2	0	-15	EC:4.1.1.32	KEGG:R00431	UNIPROT:P35558	SBO:0000014	enzyme
25	PEPCK_mito	 Phosphoenolpyruvate carboxykinase 	mito	N	1 oaa_mito + 1 gtp_mito <-> 1 pep_mito + 1 gdp_mito + 1 co2_mito	546	-15	EC:4.1.1.32	KEGG:R00431	UNIPROT:Q16822	SBO:0000014	enzyme
26	PC	 Pyruvate Carboxylase 	mito	Y	1 pyr_mito + 1 atp_mito + 1 co2_mito -> 1 oaa_mito + 1 adp_mito + 1 p_mito	168	0	EC:6.4.1.1	KEGG:R00344	UNIPROT:P11498	SBO:0000014	enzyme
27	LDH	 Lactate dehydrogenase 	cyto	N	1 pyr + 1 nadh + 1 h <-> 1 lac + 1 nad	12.6	21.1	EC:1.1.1.27	-KEGG:R00703	UNIPROT:P00338, UNIPROT:P07195, UNIPROT:P07864	SBO:0000014	enzyme
28	LACT	 Lactate transporter 	pm	N	1 lac_ext <-> 1 lac	5.418	0 (?)				SBO:0000284	transporter
29	PYRT	 Pyruvate transporter 	mm	N	 1 pyr <-> 1 pyr_mito 	42	0 (?)				SBO:0000284	transporter
30	PEPT	 PEP transporter 	mm	N	1 pep_mito <-> 1 pep	33.6	0 (?)				SBO:0000284	transporter
31	PDH	 Pyruvate dehydrogenase 	mito	Y	1 pyr_mito + 1 coa_mito + 1 nad_mito -> 1 acoa_mito + 1 co2_mito + 1 nadh_mito + 1 h_mito	13.44	-	EC:1.2.4.1	KEGG:R00209	UNIPROT:P08559, UNIPROT:P11177, UNIPROT:P10515, UNIPROT:P09622, O00330	SBO:0000014	enzyme
32	CS	 Citrate synthase 	mito	N	1 acoa_mito + 1 oaa_mito + 1 h2o mito <-> 1 cit_mito + 1 coa_mito	4.2	-32.2	EC:2.3.3.1	-KEGG:R00351	UNIPROT:O75390	SBO:0000014	enzyme
33	NDK_mito	 Nucleosid diphosphate kinase (GTP) 	mito	N	1 atp_mito + 1 gdp_mito <-> 1 adp_mito + 1 gtp_mito	420	0	EC:2.7.4.6	KEGG:R00330		SBO:0000014	enzyme
34	OAAFLX	 Oxalacetate flux 	mito	N	-> 1 oaa_mito	0	-				SBO:0000014	enzyme
35	ACOAFLX	 Acetyl-CoA flux 	mito	N	1 acoa_mito -> 	0	-				SBO:0000014	enzyme
36	VCITFLX	 Citrate flux 	mito	N	1 cit_mito ->	0	-				SBO:0000014	enzyme

